Name,Email,Code,Amount to pay,Paid amount,Paid date,Phone,Arrival,Diet,Staying late,Number of kids
Cynthia Underhill,cynthia234@hotmail.com,F12347,35,0,03/01/17,01234 567 890,Friday AM,,TRUE,0
Cyder Punk,anicedrop@riseup.net,123458,35,0,04/01/17,01234 567 890,Friday AM,Milk allergy - but that's not a problem with vegan food :),FALSE,0
Zak Mindwarp,zak@mindwarp.io,456789,50,50,01/01/17,01234 567 890,Wednesday ,I eat anything,TRUE,0
Ronald Chump,r.chump@whitehouse.gov,BCDEF4,50,0,,01234 567 890,Friday AM,,TRUE,1
Joe Bloggs,joe@bloggs.com,CDEF15,35,0,01/01/17,01234 567 890,Friday AM,,TRUE,2
Random Guy,somebody@somewhere.net,DEF126,35,0,,01234 567 890,Wednesday ,,TRUE,0
Undercover Agent,obviouscrusty@gmail.com,EF1237,35,0,03/01/17,01234 567 890,Friday AM,,TRUE,0
Cynthia Underhill,cynthia234@hotmail.com,F12348,35,0,03/01/17,01234 567 890,Friday AM,,TRUE,0
Cyder Punk,anicedrop@riseup.net,123459,35,0,04/01/17,01234 567 890,Friday AM,Milk allergy - but that's not a problem with vegan food :),FALSE,0
Zak Mindwarp,zak@mindwarp.io,567890,50,50,01/01/17,01234 567 890,Wednesday ,I eat anything,TRUE,0
Ronald Chump,r.chump@whitehouse.gov,BCDEF5,50,0,,01234 567 890,Friday AM,,TRUE,1
Joe Bloggs,joe@bloggs.com,CDEF16,35,0,01/01/17,01234 567 890,Friday AM,,TRUE,2
Random Guy,somebody@somewhere.net,DEF127,35,0,,01234 567 890,Wednesday ,,TRUE,0
Undercover Agent,obviouscrusty@gmail.com,EF1238,35,0,03/01/17,01234 567 890,Friday AM,,TRUE,0
Cynthia Underhill,cynthia234@hotmail.com,F12349,35,0,03/01/17,01234 567 890,Friday AM,,TRUE,0
Cyder Punk,anicedrop@riseup.net,123460,35,0,04/01/17,01234 567 890,Friday AM,Milk allergy - but that's not a problem with vegan food :),FALSE,0
Zak Mindwarp,zak@mindwarp.io,FEDCBA,50,50,01/01/17,01234 567 890,Wednesday ,I eat anything,TRUE,0
Ronald Chump,r.chump@whitehouse.gov,BCDEF6,50,0,,01234 567 890,Friday AM,,TRUE,1
Joe Bloggs,joe@bloggs.com,CDEF17,35,0,01/01/17,01234 567 890,Friday AM,,TRUE,2
Random Guy,somebody@somewhere.net,DEF128,35,0,,01234 567 890,Wednesday ,,TRUE,0
Undercover Agent,obviouscrusty@gmail.com,EF1239,35,0,03/01/17,01234 567 890,Friday AM,,TRUE,0
Cynthia Underhill,cynthia234@hotmail.com,F12350,35,0,03/01/17,01234 567 890,Friday AM,,TRUE,0
Cyder Punk,anicedrop@riseup.net,123461,35,0,04/01/17,01234 567 890,Friday AM,Milk allergy - but that's not a problem with vegan food :),FALSE,0
Zak Mindwarp,zak@mindwarp.io,EDCBAF,50,50,01/01/17,01234 567 890,Wednesday ,I eat anything,TRUE,0
Ronald Chump,r.chump@whitehouse.gov,BCDEF7,50,0,,01234 567 890,Friday AM,,TRUE,1
Joe Bloggs,joe@bloggs.com,CDEF18,35,0,01/01/17,01234 567 890,Friday AM,,TRUE,2
Random Guy,somebody@somewhere.net,DEF129,35,0,,01234 567 890,Wednesday ,,TRUE,0
Undercover Agent,obviouscrusty@gmail.com,EF1240,35,0,03/01/17,01234 567 890,Friday AM,,TRUE,0
Cynthia Underhill,cynthia234@hotmail.com,F12351,35,0,03/01/17,01234 567 890,Friday AM,,TRUE,0
Cyder Punk,anicedrop@riseup.net,123462,35,0,04/01/17,01234 567 890,Friday AM,Milk allergy - but that's not a problem with vegan food :),FALSE,0
